Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,29750,9,4,3772,39.80,0.000%,99.17196,42.61,45.03,440.0
TOTAL,29750,9,4,3772,39.80,0.000%,99.17196,42.61,45.03,440.0
