Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,2720,111,4,120134,2787.28,0.037%,8.87311,3.82,48.86,440.6
TOTAL,2720,111,4,120134,2787.28,0.037%,8.87311,3.82,48.86,440.6
