Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,7375,41,3,45947,653.96,0.000%,23.01803,10.41,234.27,463.0
TOTAL,7375,41,3,45947,653.96,0.000%,23.01803,10.41,234.27,463.0
