Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,2480,126,3,25424,1198.32,0.000%,7.73972,3.50,78.77,463.0
TOTAL,2480,126,3,25424,1198.32,0.000%,7.73972,3.50,78.77,463.0
