Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,5627,51,3,26121,595.11,0.000%,18.68926,8.45,20.70,463.0
TOTAL,5627,51,3,26121,595.11,0.000%,18.68926,8.45,20.70,463.0
