Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,10416,27,3,27151,385.89,0.000%,34.71560,15.70,38.44,463.0
TOTAL,10416,27,3,27151,385.89,0.000%,34.71560,15.70,38.44,463.0
