Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,7988,37,4,12155,409.23,0.000%,26.17420,11.25,144.24,440.0
TOTAL,7988,37,4,12155,409.23,0.000%,26.17420,11.25,144.24,440.0
