Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,12342,23,3,19238,242.32,0.000%,41.14137,18.60,45.84,463.0
TOTAL,12342,23,3,19238,242.32,0.000%,41.14137,18.60,45.84,463.0
