Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,10875,26,3,22998,551.97,0.000%,35.97170,15.46,199.20,440.0
TOTAL,10875,26,3,22998,551.97,0.000%,35.97170,15.46,199.20,440.0
