Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,11318,28,5,108509,1020.30,0.000%,30.47150,13.09,1568.15,440.0
TOTAL,11318,28,5,108509,1020.30,0.000%,30.47150,13.09,1568.15,440.0
