Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,14142,20,4,39724,484.91,0.000%,45.24369,19.44,250.38,440.0
TOTAL,14142,20,4,39724,484.91,0.000%,45.24369,19.44,250.38,440.0
