Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,6864,41,4,48205,709.44,0.000%,22.88755,10.35,232.94,463.0
TOTAL,6864,41,4,48205,709.44,0.000%,22.88755,10.35,232.94,463.0
