Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,18806,14,4,3171,72.90,0.000%,62.74125,26.96,28.61,440.0
TOTAL,18806,14,4,3171,72.90,0.000%,62.74125,26.96,28.61,440.0
