Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,11834,23,3,45406,569.97,0.000%,39.44706,17.84,18.34,463.0
TOTAL,11834,23,3,45406,569.97,0.000%,39.44706,17.84,18.34,463.0
