Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,3452,80,5,10068,317.54,0.000%,11.59685,4.98,591.14,440.0
TOTAL,3452,80,5,10068,317.54,0.000%,11.59685,4.98,591.14,440.0
