Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,7616,37,3,28803,441.37,0.000%,25.38328,11.48,258.34,463.0
TOTAL,7616,37,3,28803,441.37,0.000%,25.38328,11.48,258.34,463.0
