Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,8834,29,5,15915,286.47,0.000%,29.34864,12.61,1513.88,440.0
TOTAL,8834,29,5,15915,286.47,0.000%,29.34864,12.61,1513.88,440.0
