Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,11336,21,5,6697,140.58,0.000%,37.78755,16.24,1928.52,440.0
TOTAL,11336,21,5,6697,140.58,0.000%,37.78755,16.24,1928.52,440.0
