Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,8486,34,3,31113,490.83,0.000%,28.28648,12.79,288.09,463.0
TOTAL,8486,34,3,31113,490.83,0.000%,28.28648,12.79,288.09,463.0
