Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,6242,61,4,120897,2261.11,0.032%,15.15928,6.52,780.25,440.5
TOTAL,6242,61,4,120897,2261.11,0.032%,15.15928,6.52,780.25,440.5
