Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,10572,29,3,23763,383.01,0.000%,32.87518,14.86,36.63,463.0
TOTAL,10572,29,3,23763,383.01,0.000%,32.87518,14.86,36.63,463.0
