Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,4621,61,3,37667,863.75,0.000%,15.40195,6.96,156.76,463.0
TOTAL,4621,61,3,37667,863.75,0.000%,15.40195,6.96,156.76,463.0
