Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,10850,26,3,53586,714.99,0.000%,36.16655,16.35,368.34,463.0
TOTAL,10850,26,3,53586,714.99,0.000%,36.16655,16.35,368.34,463.0
