Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,6367,44,3,45040,753.71,0.000%,21.22263,9.60,9.87,463.0
TOTAL,6367,44,3,45040,753.71,0.000%,21.22263,9.60,9.87,463.0
