Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,7495,39,4,41359,658.57,0.000%,24.38945,10.48,135.09,440.0
TOTAL,7495,39,4,41359,658.57,0.000%,24.38945,10.48,135.09,440.0
