Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,23485,11,4,2887,49.05,0.000%,78.02481,33.53,429.63,440.0
TOTAL,23485,11,4,2887,49.05,0.000%,78.02481,33.53,429.63,440.0
