Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,6456,41,5,9029,223.31,0.000%,21.51878,9.25,1086.42,440.0
TOTAL,6456,41,5,9029,223.31,0.000%,21.51878,9.25,1086.42,440.0
