Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,11225,25,3,25364,337.24,0.000%,37.40831,16.91,17.39,463.0
TOTAL,11225,25,3,25364,337.24,0.000%,37.40831,16.91,17.39,463.0
