Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,5205,59,3,56309,1028.43,0.000%,16.16299,7.31,164.50,463.0
TOTAL,5205,59,3,56309,1028.43,0.000%,16.16299,7.31,164.50,463.0
