Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,9293,33,4,20032,485.20,0.011%,29.82943,12.82,13.84,440.2
TOTAL,9293,33,4,20032,485.20,0.011%,29.82943,12.82,13.84,440.2
