Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,18677,14,4,2146,65.26,0.000%,62.25916,26.75,343.23,440.0
TOTAL,18677,14,4,2146,65.26,0.000%,62.25916,26.75,343.23,440.0
