Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,9369,27,5,10729,258.82,0.000%,31.15885,13.39,1588.05,440.0
TOTAL,9369,27,5,10729,258.82,0.000%,31.15885,13.39,1588.05,440.0
