Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,5724,49,5,89797,1640.52,0.000%,18.37832,7.90,946.63,440.0
TOTAL,5724,49,5,89797,1640.52,0.000%,18.37832,7.90,946.63,440.0
