Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,6997,37,5,18917,388.63,0.000%,23.20922,9.97,1194.16,440.0
TOTAL,6997,37,5,18917,388.63,0.000%,23.20922,9.97,1194.16,440.0
