Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,83537,10,3,15840,70.14,0.000%,92.71587,39.84,45.54,440.0
TOTAL,83537,10,3,15840,70.14,0.000%,92.71587,39.84,45.54,440.0
