Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,5616,51,4,53662,757.74,0.000%,18.71981,8.46,190.53,463.0
TOTAL,5616,51,4,53662,757.74,0.000%,18.71981,8.46,190.53,463.0
