Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,7242,39,3,24382,333.47,0.000%,24.14000,10.91,245.69,463.0
TOTAL,7242,39,3,24382,333.47,0.000%,24.14000,10.91,245.69,463.0
