Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,10077,60,5,120007,1630.46,0.010%,15.14382,6.51,775.14,440.2
TOTAL,10077,60,5,120007,1630.46,0.010%,15.14382,6.51,775.14,440.2
