Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,29589,9,3,4043,40.49,0.000%,98.63296,42.38,44.79,440.0
TOTAL,29589,9,3,4043,40.49,0.000%,98.63296,42.38,44.79,440.0
