Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,19292,14,3,21830,208.31,0.000%,64.30752,27.63,29.33,440.0
TOTAL,19292,14,3,21830,208.31,0.000%,64.30752,27.63,29.33,440.0
