Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,3562,91,5,76082,1799.71,0.000%,10.44397,4.49,535.76,440.0
TOTAL,3562,91,5,76082,1799.71,0.000%,10.44397,4.49,535.76,440.0
