Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,7422,35,5,30783,362.53,0.000%,24.65076,10.59,1265.83,440.0
TOTAL,7422,35,5,30783,362.53,0.000%,24.65076,10.59,1265.83,440.0
