Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,4616,66,3,44123,1027.95,0.000%,14.73621,6.66,16.32,463.0
TOTAL,4616,66,3,44123,1027.95,0.000%,14.73621,6.66,16.32,463.0
