Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,4920,65,5,120008,1782.49,0.020%,14.28136,6.14,723.65,440.3
TOTAL,4920,65,5,120008,1782.49,0.020%,14.28136,6.14,723.65,440.3
