Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,7402,40,3,31734,627.36,0.000%,24.55889,10.55,12.06,440.0
TOTAL,7402,40,3,31734,627.36,0.000%,24.55889,10.55,12.06,440.0
