Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,2246,131,5,120050,2846.01,0.045%,7.11834,3.06,365.64,440.7
TOTAL,2246,131,5,120050,2846.01,0.045%,7.11834,3.06,365.64,440.7
