Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,31616,9,3,1426,44.28,0.003%,105.74514,45.44,50.70,440.1
TOTAL,31616,9,3,1426,44.28,0.003%,105.74514,45.44,50.70,440.1
