,0,1,2,0
47,8-20s,itr10,Node 3,"[4137, 6473, 6182, 1986, 1646, 594, 2468, 5210, 2028, 663, 173, 776, 116, 1617]"
48,8-20s,itr10,Node 2,"[4137, 6182, 1774, 1986, 5384, 4648, 2468, 3127, 5210, 2028, 663, 173, 776, 116, 1617]"
49,8-20s,itr10,Node 1,"[6422, 6473, 6182, 1986, 594, 4648, 2468, 5210, 630, 663, 173, 776, 116, 1617]"
50,16-20s,itr1,Node4,"[1890, 3400, 1946, 3603, 4023, 1544, 498, 1140, 953, 444, 713, 734, 551, 891, 3, 1321, 2576, 802]"
51,16-20s,itr1,Node5,"[1890, 3400, 1946, 7190, 3603, 4023, 9192, 1544, 5871, 1140, 953, 444, 713, 734, 551, 891, 3, 3327, 1321, 2576, 802]"
52,16-20s,itr1,Node 2,"[1890, 3400, 1946, 3603, 7190, 4023, 5967, 9192, 1544, 1140, 934, 953, 444, 734, 551, 891, 3, 3327, 1321, 2576, 802]"
53,16-20s,itr1,Node 1,"[1890, 3400, 1946, 4023, 9192, 1544, 5871, 1140, 953, 444, 713, 734, 551, 891, 3, 1321, 2576, 802]"
54,16-20s,itr1,Node 3,"[1890, 3400, 1946, 3603, 4023, 5606, 9192, 1544, 934, 953, 444, 713, 734, 551, 891, 3, 3327, 2576, 802]"
55,16-20s,itr2,Node5,"[2996, 3057, 4324, 1706, 741, 2638, 723, 1701, 2011, 503, 1627, 474, 3439, 272, 4305]"
56,16-20s,itr2,Node4,"[2996, 3057, 957, 1706, 741, 2638, 723, 1701, 2011, 503, 474, 82, 272, 4305]"
57,16-20s,itr2,Node 2,"[2996, 3057, 5319, 741, 2638, 723, 1701, 2011, 503, 1627, 474, 3439, 272, 4305]"
58,16-20s,itr2,Node 3,"[2996, 3057, 1319, 1706, 741, 2638, 723, 1701, 503, 1627, 474, 272, 82, 4305]"
59,16-20s,itr2,Node 1,"[2996, 3057, 1706, 4324, 741, 723, 1701, 2011, 503, 1627, 474, 3439, 272, 4305]"
60,16-20s,itr3,Node5,"[2757, 3158, 2059, 2033, 1902, 1598, 1669, 1244, 1442, 1836, 519, 3184, 1839, 670, 371, 1945, 1565]"
61,16-20s,itr3,Node4,"[2757, 2169, 3158, 2059, 2033, 1902, 1669, 195, 1244, 1442, 472, 1836, 519, 3184, 670, 2285, 371, 1945, 1565]"
