Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,11623,51,5,120012,1755.35,0.009%,17.93432,7.71,915.21,440.1
TOTAL,11623,51,5,120012,1755.35,0.009%,17.93432,7.71,915.21,440.1
