Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Firs Test single user:FIr Creation Request,15805,17,3,23833,316.87,0.000%,52.68298,23.82,58.34,463.0
TOTAL,15805,17,3,23833,316.87,0.000%,52.68298,23.82,58.34,463.0
