Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,16458,21,3,77982,771.78,0.000%,44.51730,19.13,20.22,440.0
TOTAL,16458,21,3,77982,771.78,0.000%,44.51730,19.13,20.22,440.0
