Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
FIr Creation Request,40022,13,4,10226,111.32,0.000%,66.77155,28.69,369.93,440.0
TOTAL,40022,13,4,10226,111.32,0.000%,66.77155,28.69,369.93,440.0
